,Feature_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Cluster
302730,f7f6b080fd774f3c3516a1da9306445f,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Bryobacterales, f__Bryobacteraceae, g__Bryobacter, s__metagenome,0
302983,f82cae3ff39e10d466f60287312d628d,d__Bacteria, p__Acidobacteriota, c__Blastocatellia, o__Blastocatellales, f__Blastocatellaceae,,,0
283942,e8f88822cdb083260aaa8fc260ebf791,d__Bacteria, p__Acidobacteriota, c__Holophagae, o__Holophagales, f__Holophagaceae, g__Holophagaceae, s__metagenome,0
291955,ef804cf3daa356dbb1a81205540240e0,d__Bacteria, p__Acidobacteriota, c__Vicinamibacteria, o__Vicinamibacterales, f__Vicinamibacteraceae, g__Vicinamibacteraceae,,0
309002,fd3083075acf8acb54149c3164ba3c8a,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Ilumatobacteraceae, g__uncultured,,0
291143,eecf51418aca7522ed970c03176c8d36,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__uncultured, f__uncultured, g__uncultured, s__uncultured_bacterium,0
304881,f9bff06adc2fe0ffc3b1f1ad39dd4bed,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Frankiales, f__Sporichthyaceae, g__Longivirga, s__metagenome,0
280976,e68b3ef2b8b326c9ca5492de70fdbcf1,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Microbacteriaceae, g__Parafrigoribacterium, s__uncultured_bacterium,0
309349,fd7bdd6865becbf0f5bebb012de1fb0e,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__OPB41, f__OPB41, g__OPB41,,0
308066,fc679e04b7018f773cc05711af0010e2,d__Bacteria, p__Armatimonadota, c__Chthonomonadetes, o__Chthonomonadales, f__Chthonomonadaceae, g__Chthonomonas,,0
176014,9041292d9b5e2d46143a39e1a658c04a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prolixibacteraceae, g__WCHB1-32,,0
304431,f96110ac23c3d8f3638c8f3867a507c8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Ferruginibacter,,0
68757,38335a0cd30a9bb4eea98e86ac9ed4bf,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Terrimonas, s__uncultured_Chitinophagaceae,0
39747,20776c7da6b658579454b444f878d5ef,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae,,,0
312055,ffb5fc772bfe3935fc894ac813473519,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Saprospiraceae, g__uncultured, s__uncultured_bacterium,0
257925,d3b5b655dbe5c19cded952e2028b9ded,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Hymenobacteraceae, g__Hymenobacter, s__Hymenobacter_nivis,0
234815,c097213707ea778a1960946f4e0cded3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,0
304551,f97a98e54b3092c4d1b060f28e22f64c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,0
311515,ff452f38ad0d8412402713b69191c0f4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,0
3612,02fb94bd92d4aec53fc39005bc1f82ab,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__uncultured_Bacteroidetes,0
302815,f806a7058fb79fa29b0f296cb9159d41,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__Flavobacterium_swingsii,0
299905,f5bc90e0f2876dc69eec7abdaff53d8b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Lutibacter,,0
186064,9893d12c499caab03dba8a806b82637e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767, s__uncultured_Bacteroidetes,0
310002,fdff38fd2608bd07a6eab24373f2b45f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767, s__uncultured_Bacteroidetes,0
226106,b9686368113cbd11e78c271dd2ef1575,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,0
296699,f3341c862e578bd3eada8ec93e0bfa8d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__LiUU-11-161, g__LiUU-11-161, s__metagenome,0
293340,f0986ab16f77d2f94399db74675423c9,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__Bdellovibrio, s__Bdellovibrionales_bacterium,0
310859,feb7b7507204293f6c5b81d03a2c537c,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__Bdellovibrio, s__uncultured_bacterium,0
309287,fd6d0a3cc35132d43e34d4738848dc5f,d__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Anaerolineales, f__Anaerolineaceae, g__uncultured,,0
309387,fd847d9f258b7216e7b8b5ac74bf3867,d__Bacteria, p__Chloroflexi, c__OLB14, o__OLB14, f__OLB14, g__OLB14,,0
310709,fe92d9fb89dc1d5647a4170056e0764c,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Anaerovoracaceae, g__Anaerovorax, s__uncultured_bacterium,0
309360,fd7dbcfed32b6ef839343211c7d406c2,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__Gemmatimonas,,0
9961,081a1ef6331cf5f3dd5a5c3fcc30f1d0,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Myxococcaceae, g__P3OB-42,,0
306328,faf38d1ba224158d03b3d2d241ab910d,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Myxococcaceae, g__uncultured, s__uncultured_bacterium,0
246051,c9db9df4cd730f5b10b89c6d4163108e,d__Bacteria, p__Nitrospirota, c__Nitrospiria, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira, s__Nitrospirae_bacterium,0
289625,ed91237cd38b898d96f8c6a03669445c,d__Bacteria, p__Nitrospirota, c__Nitrospiria, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira, s__uncultured_Green,0
302144,f782c3c4b100c5ec8ab17e701b77ae2e,d__Bacteria, p__Patescibacteria, c__Gracilibacteria, o__Absconditabacteriales_(SR1), f__Absconditabacteriales_(SR1), g__Absconditabacteriales_(SR1), s__metagenome,0
305101,f9ef8e4f4290b3099c4ccc4f75027c45,d__Bacteria, p__Patescibacteria, c__Gracilibacteria, o__Gracilibacteria, f__Gracilibacteria, g__Gracilibacteria, s__metagenome,0
135577,6f3a6fbe4d16179144d709b7ccb9ca34,d__Bacteria, p__Patescibacteria, c__Parcubacteria, o__Candidatus_Nomurabacteria, f__Candidatus_Nomurabacteria, g__Candidatus_Nomurabacteria, s__uncultured_bacterium,0
150952,7bd97c440b80cb777f89baae0b025d3e,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__Saccharimonadales, g__Saccharimonadales, s__uncultured_bacterium,0
312225,ffd81681f2d6d911120f5989ea6e3bf6,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_bacterium,0
299037,f50ac703738e6c69589c9dcd653bc806,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__uncultured,,0
266930,db26b54d3299c5aa1368ab3e8bf20012,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__Rubinisphaeraceae, g__SH-PL14, s__uncultured_planctomycete,0
56871,2e8924ad09682125466e3aa7ba84dbac,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__uncultured, g__uncultured, s__uncultured_bacterium,0
293334,f0973ba9c450bfe449bfc7896fde73ca,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__uncultured, g__uncultured, s__uncultured_bacterium,0
307782,fc2e26530cdad3c249a65b441fc5d6fd,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Planctomycetales, f__uncultured, g__uncultured, s__uncultured_bacterium,0
191900,9d526f13b8a5c391bbd4dfcc51fa514f,d__Bacteria, p__Planctomycetota, c__vadinHA49, o__vadinHA49, f__vadinHA49, g__vadinHA49, s__uncultured_bacterium,0
3241,02a6d0e19e954cfff52b248845461fcb,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acidiphilium, s__uncultured_bacterium,0
308188,fc80ff9f19b7c594f3486f2c38f77c72,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Phenylobacterium,,0
308207,fc84bb6be8e3cbffc002904202659784,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__uncultured, s__uncultured_Alphaproteobacteria,0
309025,fd36d05c6573c0f7b570d5dd70a8c65b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Elsterales, f__uncultured, g__uncultured,,0
301631,f721bc42eede61cf550566c42d3875bf,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Reyranellales, f__Reyranellaceae, g__Reyranella,,0
302066,f772d5f5f6956c04f1e760bf5b42b167,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__A0839, g__A0839, s__uncultured_bacterium,0
293993,f11afd2e383f5d73a9773d22cc27ba5e,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae, g__uncultured, s__uncultured_bacterium,0
301399,f6f237cf18bef72d0069b0194c35ddee,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured,,0
305158,f9f9d1c820a70c0336782d266e7134ad,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured,,0
297042,f37a69408322d27dd959f1c47faef5d7,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Novosphingobium,,0
303058,f83c95a4c55012805086a990b5ca106a,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Parablastomonas, s__uncultured_bacterium,0
296893,f359d6b12d6df77fce3684238719e6c2,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas,,0
310712,fe93aecc2e341581d2b7d724134c8195,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas,,0
301932,f758250bc6ee0e8c53caece4486beebd,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingorhabdus, s__Sphingomonas_sp.,0
302707,f7f15adeecea0a808d16291555c84016,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Acidiferrobacterales, f__Acidiferrobacteraceae, g__Sulfurifustis,,0
258685,d45385f4cef438f549f224584ed89edd,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Acidiferrobacterales, f__Acidiferrobacteraceae, g__uncultured, s__uncultured_bacterium,0
41204,219817267a4e992d22bc0a83d47638c7,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas,,0
231111,bd95d741b4b2b9cf3d4f4dbec0745faa,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas,,0
275591,e2315844f40985ede838acf02e5d898a,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas,,0
276163,e29fd85b4afd8b43bff8bdd255f378ca,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,0
287701,ec0bccf3455a9e6689d54aef7c97014d,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,0
303286,f86871e01dc966309f0afa49d1e5f7df,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__uncultured,,0
303724,f8caad883e0b2df1eb00bea07590b0bd,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,0
311806,ff83a9b7aac63ac4945db118ae0faade,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,0
137416,70c0cf42d943e00d7feb28c7b220b213,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Ellin6067, s__uncultured_beta,0
286606,eb1fb1116bf57b62336a10a6a0ab86f4,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Ellin6067,,0
300393,f61dee5e6ea59dc57790533f3a4c9712,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__Nitrosospira,,0
309385,fd83db479eb0e408f0aa11e797b17424,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sulfuricellaceae,,,0
133776,6dbf7836d1a82efdedba116180cf642b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99, s__uncultured_bacterium,0
192987,9e3ab82829aeb20d080939dadbca7035,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99, s__metagenome,0
294590,f192ec717bbcf1f68cf16465292ec57a,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__TRA3-20, g__TRA3-20, s__metagenome,0
312119,ffc36e27c82042664a16bcd4d380b286,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Enterobacteriaceae, g__Escherichia-Shigella,,0
293620,f0cc5efa097b39a56432c084cd13900b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__JG36-TzT-191, f__JG36-TzT-191, g__JG36-TzT-191,,0
312271,ffe1e63147af5c2cd21231f1d5d59488,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,,0
184534,974eff676d74959f0ec0953098f9db1f,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Rhodanobacteraceae, g__uncultured, s__uncultured_bacterium,0
127555,68b2cc406d6309cd4e75ef3f0fd7cdb0,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Arenimonas,,0
304378,f957d72faba1e08037e8b158f13aec20,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Arenimonas,,0
306327,faf31a20984be648020c5f163ca8d85d,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Arenimonas,,0
310236,fe2f21edeaf43144e70396e27bdbc0b7,d__Bacteria, p__Spirochaetota, c__Leptospirae, o__Leptospirales, f__Leptospiraceae, g__Leptospira, s__metagenome,0
304324,f94d34ef0e798b5e0a36b6ad8917f945,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Opitutaceae, g__Lacunisphaera, s__uncultured_bacterium,0
12723,0a56b88d776b0a99b36236611f870eae,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Solibacterales, f__Solibacteraceae, g__Candidatus_Solibacter, s__uncultured_forest,1
105160,5635f91385a60a1d8541c2a4f1ac3424,d__Bacteria, p__Acidobacteriota, c__Blastocatellia, o__Blastocatellales, f__Blastocatellaceae, g__uncultured, s__uncultured_Acidobacteria,1
5029,0424b1f55db84523bf980c356a719c34,d__Bacteria, p__Acidobacteriota, c__Blastocatellia, o__Blastocatellales, f__Blastocatellaceae,,,1
289027,ed17f9f5b50241468d1b2d4e679d4b00,d__Bacteria, p__Acidobacteriota, c__Holophagae, o__Subgroup_7, f__Subgroup_7, g__Subgroup_7,,1
29459,17fa1308c281782539cda1990bac878e,d__Bacteria, p__Acidobacteriota, c__Vicinamibacteria, o__Vicinamibacterales, f__Vicinamibacteraceae, g__Vicinamibacteraceae, s__uncultured_Acidobacteria,1
148976,7a3f2c29877d8e0af4ef0da91088ff22,d__Bacteria, p__Acidobacteriota, c__Vicinamibacteria, o__Vicinamibacterales, f__Vicinamibacteraceae, g__Vicinamibacteraceae,,1
5575,0491d0c91e53adbc4764888f2109247f,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__uncultured, f__uncultured, g__uncultured, s__uncultured_bacterium,1
66078,360f5200c952d1dcb162cf3a40fa8438,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Intrasporangiaceae, g__Oryzihumus, s__uncultured_bacterium,1
105116,562cbf4b817bda06dcc16f8b1e9f0086,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__Gaiellales, f__uncultured, g__uncultured, s__metagenome,1
36385,1db11b524deebab620a0bd45a02da13e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidetes_vadinHA17, g__Bacteroidetes_vadinHA17,,1
105306,5656a915277db784dae1f6709cbd2839,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Ferruginibacter,,1
153963,7e443163674915dfb96730b69a1dcc98,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Ferruginibacter,,1
8480,06e4d960d72924a23b382df7dd445fd7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Sediminibacterium, s__metagenome,1
65403,35853ef6dd80910e39f9ea276a14818e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Segetibacter, s__uncultured_bacterium,1
25230,14819faccc0bc7700928515b85b5bb3f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__uncultured, s__uncultured_Chitinophaga,1
88137,481a014356829bf8fb431801719e386b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__uncultured, s__uncultured_Bacteroidetes,1
49399,28498951ef5c23f3d075a349f1f18bc9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Saprospiraceae, g__uncultured, s__uncultured_bacterium,1
9252,0788ae75100d17f5a2e9ef49a6622d77,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured, s__uncultured_Ohtaekwangia,1
114885,5e489c69d273085d2c29c31e5dab8955,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,1
123865,65ba0ee426049170c91c39805c058883,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__KD3-93, g__KD3-93,,1
99315,51573c6956f1fb6d54eeba84eadb3042,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bacteriovoracales, f__Bacteriovoracaceae, g__Bacteriovorax, s__uncultured_bacterium,1
13832,0b39ad94d734934e9148d1969e8841cc,d__Bacteria, p__Chloroflexi, c__Chloroflexia, o__Chloroflexales, f__Roseiflexaceae, g__uncultured,,1
82278,43404f33fe968ce83ab6721cd38a3039,d__Bacteria, p__Chloroflexi, c__KD4-96, o__KD4-96, f__KD4-96, g__KD4-96, s__uncultured_bacterium,1
34756,1c5ae6750ebd091c33b4fc43f12475f7,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__Gemmatimonas,,1
205509,a890e26fc24f0e354e5d75fc2e5ed883,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__Gemmatimonas, s__uncultured_bacterium,1
201828,a5924b2d1c9783e118368d34284b4fa9,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__uncultured, s__uncultured_bacterium,1
81334,428664c0e2f6b471849271f12c4d0663,d__Bacteria, p__Latescibacterota, c__Latescibacterota, o__Latescibacterota, f__Latescibacterota, g__Latescibacterota, s__uncultured_soil,1
28872,17752da6a3f078ca9cc3a25a57336ea4,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Anaeromyxobacteraceae, g__Anaeromyxobacter, s__uncultured_bacterium,1
78891,4086809ddf6f545eb10c662e2dddf554,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Anaeromyxobacteraceae, g__Anaeromyxobacter, s__uncultured_bacterium,1
9351,079c13dbf28133fd60ff87da01bf7c6a,d__Bacteria, p__Myxococcota, c__Polyangia, o__Blfdi19, f__Blfdi19, g__Blfdi19, s__metagenome,1
47832,2709885521f1a966a28625d49d81172b,d__Bacteria, p__Nitrospirota, c__Nitrospiria, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira, s__uncultured_Green,1
100818,528df6a6ce1e85711387a5fee2100a8f,d__Bacteria, p__Patescibacteria, c__Berkelbacteria, o__Berkelbacteria, f__Berkelbacteria, g__Berkelbacteria, s__uncultured_bacterium,1
45626,2528a22934d10ada7c0e416733ca89a9,d__Bacteria, p__Patescibacteria, c__Parcubacteria, o__Candidatus_Kaiserbacteria, f__Candidatus_Kaiserbacteria, g__Candidatus_Kaiserbacteria, s__uncultured_bacterium,1
186281,98c1f9ce0b1590007d6680264521d3b4,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__Zavarzinella,,1
159795,8315da01b397d0923f08267bcefeaaee,d__Bacteria, p__Planctomycetota, c__vadinHA49, o__vadinHA49, f__vadinHA49, g__vadinHA49, s__uncultured_bacterium,1
113718,5d51398e732dea37f1a9ac3c708053f8,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acidiphilium, s__uncultured_bacterium,1
113772,5d5e543cbbaf6b818a35a8121079b140,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae,,,1
13145,0aaa75f69a989df3cc6c93e0e3de5d30,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae,,,1
27010,15ed7da911ae32d1d7edc3085028e584,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiales_Incertae_Sedis, g__uncultured, s__uncultured_bacterium,1
160566,83b4b0e047542a312ee99652ad4ab5bb,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae, g__uncultured,,1
12908,0a7a72cf0cbf9f815d62c85dfa0b269a,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Pseudorhodobacter,,1
63570,33f8f3624007a60162a5ca4d9940506c,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas,,1
74765,3d29cdb3e652c3ab78282ad8ddf41b0e,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas, s__uncultured_bacterium,1
81415,42968f23038405c56001a4326f499a5f,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Polaromonas,,1
43877,23b78677de44393d325de5d77da4711b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,1
180530,93f52e347e69b67e42f5979bb8735255,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax,,1
7482,0617fd4fa5142fe4ed4fdeb4db0560d1,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,1
85476,45dc228dbe03a8d83c0f786ae5445552,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,1
106384,5746da6fc03bd8fa2d736e142ef1494b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,1
107171,57ef7005b53be2a6634ee38d470062af,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,1
26296,155dc7178cd8e643abdbe16462ff4ed5,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__mle1-7, s__uncultured_bacterium,1
54362,2c6a5c8a440e18ddbd96c199095fca65,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__MND1, s__metagenome,1
146742,785cf5b69666385e03782621e2da991a,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Undibacterium, s__Undibacterium_parvum,1
87965,47f5b55b2d06196e66a93236086a9217,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sulfuricellaceae, g__Sulfuriferula, s__uncultured_beta,1
77696,3f8f41a10baf9189a04cc45a88846ecc,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Sutterellaceae, g__AAP99, s__metagenome,1
38319,1f3cdb39c7d589b11fe1fe71888b3bc5,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae,,,1
43835,23af6d9b7651ea54de9e5701e6805d76,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Opitutaceae, g__Opitutus, s__metagenome,1
70832,39d7ffd53d72a602b79c294eec1ed4d1,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__Pedosphaeraceae, s__uncultured_bacterium,1
35279,1cca7f91883b9a814bb128ea2b2b574f,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__uncultured, s__uncultured_Verrucomicrobia,1
307472,fbef51566f40e3793e24e42b87829937,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Ferruginibacter, s__uncultured_bacterium,2
